,title,author,length
33,The Gate of the Feral Gods,By: Matt Dinniman,Length: 17 hrs and 17 mins
34,Shadow Princess,"By: Caroline Peckham, Susanne Valenti",Length: 17 hrs and 17 mins
35,Bad Republican,By: Meghan McCain,Length: 17 hrs and 17 mins
36,The Book of Hope,"By: Jane Goodall, Douglas Abrams",Length: 17 hrs and 17 mins
37,Woke Racism,By: John McWhorter,Length: 17 hrs and 17 mins
38,Peak Mind,By: Amishi P. Jha,Length: 17 hrs and 17 mins
39,The Judge's List,By: John Grisham,Length: 17 hrs and 17 mins
40,Gentle and Lowly,By: Dane C. Ortlund,Length: 5 hrs and 17 mins
41,The Reckoning,"By: Caroline Peckham, Susanne Valenti",Length: 5 hrs and 17 mins
42,Oh William!,By: Elizabeth Strout,Length: 5 hrs and 17 mins
43,The Servants of Twilight,By: Dean Koontz,Length: 5 hrs and 17 mins
44,Atomic Habits,By: James Clear,Length: 5 hrs and 17 mins
45,Shadowplay,"By: Terry Mancour, Emily Burch Harris",Length: 5 hrs and 17 mins
46,It Worked for Me,By: Colin Powell,Length: 5 hrs and 17 mins
47,Daughter of the Deep,By: Rick Riordan,Length: 5 hrs and 17 mins
48,Raising Men,"By: Eric Davis, Dina Santorelli - contributor",Length: 5 hrs and 17 mins
49,You,By: Caroline Kepnes,Length: 5 hrs and 17 mins
50,Apocalypse Never,By: Michael Shellenberger,Length: 5 hrs and 17 mins
51,Vanderbilt,"By: Anderson Cooper, Katherine Howe",Length: 5 hrs and 17 mins
52,Born a Crime,By: Trevor Noah,Length: 5 hrs and 17 mins
53,Home Stretch,By: Graham Norton,Length: 5 hrs and 17 mins
54,The Four Agreements,By: don Miguel Ruiz,Length: 5 hrs and 17 mins
55,Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 5 hrs and 17 mins
56,The Alchemist,By: Paulo Coelho,Length: 5 hrs and 17 mins
57,Never Split the Difference,By: Chris Voss,Length: 5 hrs and 17 mins
58,A Line to Kill,By: Anthony Horowitz,Length: 5 hrs and 17 mins
59,The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 5 hrs and 17 mins
60,San Fransicko,By: Michael Shellenberger,Length: 11 hrs and 12 mins
61,How to Win Friends & Influence People,By: Dale Carnegie,Length: 11 hrs and 12 mins
62,48 Laws of Power,By: Robert Greene,Length: 11 hrs and 12 mins
63,The Five Dysfunctions of a Team,By: Patrick Lencioni,Length: 11 hrs and 12 mins
64,Eat Smarter,By: Shawn Stevenson,Length: 11 hrs and 12 mins
65,The Lincoln Highway,By: Amor Towles,Length: 11 hrs and 12 mins
66,The Untethered Soul,By: Michael A. Singer,Length: 11 hrs and 12 mins
67,Traction,By: Gino Wickman,Length: 11 hrs and 12 mins
68,Peril,"By: Bob Woodward, Robert Costa",Length: 11 hrs and 12 mins
69,Braiding Sweetgrass,By: Robin Wall Kimmerer,Length: 11 hrs and 12 mins
70,The Plantagenets,By: Dan Jones,Length: 11 hrs and 12 mins
71,Holier Than Thou,By: Jackie Hill Perry,Length: 11 hrs and 12 mins
72,Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 11 hrs and 12 mins
73,Neverwinter,By: R. A. Salvatore,Length: 11 hrs and 12 mins
74,Verity,By: Colleen Hoover,Length: 11 hrs and 12 mins
75,Cleaning Up Your Mental Mess,By: Dr. Caroline Leaf,Length: 11 hrs and 12 mins
76,To Kill a Mockingbird,By: Harper Lee,Length: 11 hrs and 12 mins
77,Empire of the Summer Moon,By: S. C. Gwynne,Length: 11 hrs and 12 mins
78,The Sandman: Act II,"By: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 12 mins
79,Legion's Fifth Vault,By: A. F. Kay,Length: 11 hrs and 12 mins
